year,gender,name,n
2019,female,RYSZARDA,4524
2019,female,LILIA,4378
2019,female,VALENTYNA,4367
2019,female,ADELAJDA,4339
2019,female,MIA,4306
2019,female,MAYA,4246
2019,female,IDA,4217
2019,female,LARYSA,4015
2019,female,"NADIIA",3944
2019,female,ALBINA,3898
2019,female,MIRELA,3853
2019,female,KAMILLA,3841
2019,female,INNA,3752
2019,female,FELIKSA,3745
2019,female,EMMA,3670
2019,female,LUCJA,3378
2019,female,LEONARDA,3349
2019,female,OLIMPIA,3341
2019,female,FAUSTYNA,3319
2019,female,SAMANTA,3300
2019,female,ZYTA,3257
2019,female,MARYLA,3192
2019,female,LILA,3115
2019,female,MARCELA,3107
2019,female,OLEKSANDRA,2992
2019,female,ALEXANDRA,2966
2019,female,ANGELINA,2903
2019,female,LIUBOV,2851
2019,female,BOLESŁAWA,2773
2019,female,ALLA,2759
2019,female,KSENIA,2748
2019,female,PAMELA,2709
2019,female,OKTAWIA,2696
2019,female,VIKTORIA,2685
2019,female,KONSTANCJA,2644
2019,female,WANESSA,2622
2019,female,SALOMEA,2602
2019,female,YANA,2587
2019,female,BOGNA,2482
2019,female,SOFIA,2476
2019,female,"NADZIEJA",2464
2019,female,ELFRYDA,2456
2019,female,EDWARDA,2429
2019,female,MIRELLA,2381
2019,female,KRZYSZTOFA,2372
2019,female,CLAUDIA,2334
2019,female,INEZ,2189
2019,female,NOEMI,2181
2019,female,EDELTRAUDA,2159
2019,female,LILIIA,2143
2019,female,ZOJA,2138
2019,female,GAJA,2086
2019,female,MARIYA,2031
2019,female,VERONIKA,2026
2019,female,ALONA,1975
2019,female,OLA,1958
2019,female,MARIANA,1936
2019,female,NEL,1935
2019,female,JAGNA,1926
2019,female,SOPHIE,1916
2019,female,STELLA,1903
2019,female,MICHELLE,1874
2019,female,WIERA,1859
2019,female,ANGELA,1845
2019,female,IVANNA,1811
2019,female,"NATALIYA",1805
2019,female,SARAH,1785
2019,female,EMILY,1774
2019,female,RUTA,1729
2019,female,ARLETTA,1717
2019,female,IZA,1712
2019,female,SOFIIA,1710
2019,female,KHRYSTYNA,1709
2019,female,HELGA,1675
2019,female,MIRIAM,1673
2019,female,KLEMENTYNA,1650
2019,female,TOLA,1644
2019,female,KLAUDYNA,1641
2019,female,MANUELA,1631
2019,female,INES,1629
2019,female,GERDA,1623
2019,female,ROMA,1607
2019,female,MARIETTA,1555
2019,female,VALERIIA,1554
2019,female,TEOFILA,1545
2019,female,MARINA,1538
2019,female,"NATALIE",1526
2019,female,ALENA,1508
2019,female,GALYNA,1507
2019,female,LESIA,1479
2019,female,IRINA,1477
2019,female,GRETA,1468
2019,female,IRMGARDA,1468
2019,female,JAŚMINA,1465
2019,female,ANTONIA,1461
2019,female,VIRA,1452
2019,female,EULALIA,1447
2019,female,LEA,1430
2019,female,BERNARDYNA,1408
2019,female,JAROSŁAWA,1406
2019,female,ERNA,1389
2019,female,YULIYA,1375
2019,female,EVA,1363
2019,female,DOBROSŁAWA,1356
2019,female,FLORENTYNA,1332
2019,female,ANDREA,1288
2019,female,MARTINA,1269
2019,female,LUBA,1260
2019,female,KUNEGUNDA,1243
2019,female,ERIKA,1240
2019,female,RAISA,1237
2019,female,HANKA,1233
2019,female,TETYANA,1210
2019,female,WANESA,1207
2019,female,NICOL,1204
2019,female,DŻESIKA,1194
2019,female,SEWERYNA,1179
2019,female,BALBINA,1171
2019,female,LINDA,1160
2019,female,WIRGINIA,1160
2019,female,MARCJANNA,1149
2019,female,ANA,1146
2019,female,MILA,1141
2019,female,VERONICA,1134
2019,female,FILOMENA,1133
2019,female,MAJKA,1120
2019,female,SOPHIA,1109
2019,female,ANASTASIYA,1098
2019,female,IULIIA,1098
