name,count,gender,area,age
François,8147,male,wallonia,18-64
Aurélie,8103,female,wallonia,18-64
Elke,8085,female,flanders,18-64
Christiane,8058,female,wallonia,65-inf
François,8023,male,flanders,65-inf
Chantal,7921,female,wallonia,18-64
Michel,7911,male,flanders,18-64
Chantal,7821,female,flanders,18-64
Nick,7805,male,flanders,18-64
Jean,7805,male,flanders,18-64
Stefaan,7797,male,flanders,18-64
Sarah,7788,female,wallonia,18-64
Guido,7731,male,flanders,65-inf
Denise,7730,female,flanders,65-inf
Rudi,7689,male,flanders,18-64
Nadine,7677,female,flanders,18-64
Davy,7603,male,flanders,18-64
Brigitte,7512,female,flanders,18-64
Nicole,7512,female,flanders,18-64
Alexandre,7420,male,wallonia,18-64
Christelle,7397,female,wallonia,18-64
Bernard,7341,male,wallonia,18-64
Bram,7269,male,flanders,18-64
Christian,7227,male,wallonia,65-inf
Sophie,7216,female,flanders,18-64
Nico,7177,male,flanders,18-64
Sonja,7157,female,flanders,18-64
Marijke,7085,female,flanders,18-64
Sara,7076,female,flanders,18-64
Jeannine,7066,female,wallonia,65-inf
Alain,7027,male,flanders,18-64
Robin,7022,male,flanders,18-64
Brigitte,6929,female,wallonia,18-64
Olivier,6865,male,flanders,18-64
Arnaud,6864,male,wallonia,18-64
Vincent,6855,male,flanders,18-64
Freddy,6838,male,flanders,65-inf
Mario,6831,male,flanders,18-64
Daniel,6755,male,wallonia,65-inf
Maria,6744,female,brussels,18-64
Anne,6743,female,wallonia,65-inf
Anna,6733,female,flanders,18-64
Jens,6722,male,flanders,18-64
Hilda,6713,female,flanders,65-inf
Kevin,6699,male,wallonia,18-64
Emma,6676,female,flanders,0-17
Niels,6631,male,flanders,18-64
Fabrice,6589,male,wallonia,18-64
Jolien,6561,female,flanders,18-64
Karen,6539,female,flanders,18-64
Dominique,6531,male,wallonia,18-64
René,6530,male,flanders,65-inf
Benjamin,6508,male,wallonia,18-64
Agnes,6487,female,flanders,65-inf
Pierre,6466,male,wallonia,65-inf
Frederik,6462,male,flanders,18-64
Liesbeth,6449,female,flanders,18-64
Andy,6434,male,flanders,18-64
Simonne,6416,female,flanders,65-inf
Mariette,6409,female,flanders,65-inf
Joris,6377,male,flanders,18-64
Grégory,6340,male,wallonia,18-64
Rudy,6337,male,flanders,18-64
Glenn,6328,male,flanders,18-64
Daniel,6322,male,flanders,18-64
Quentin,6265,male,wallonia,18-64
Etienne,6240,male,flanders,65-inf
Mieke,6239,female,flanders,18-64
Karin,6233,female,flanders,18-64
Monique,6230,female,flanders,18-64
Rosa,6229,female,flanders,65-inf
Jacques,6204,male,flanders,65-inf
Dieter,6178,male,flanders,18-64
Vanessa,6175,female,flanders,18-64
Jérôme,6161,male,wallonia,18-64
Magda,6150,female,flanders,65-inf
Guy,6145,male,wallonia,65-inf
Gert,6144,male,flanders,18-64
Sabine,6143,female,wallonia,18-64
Jozef,6119,male,flanders,18-64
Stefanie,6102,female,flanders,18-64
Michael,6101,male,flanders,18-64
Dries,6098,male,flanders,18-64
Leen,6091,female,flanders,18-64
Michel,6079,male,flanders,65-inf
Eva,6068,female,flanders,18-64
Myriam,6067,female,flanders,18-64
Georges,6045,male,flanders,65-inf
Pierre,6044,male,flanders,65-inf
Xavier,6017,male,wallonia,18-64
Claude,5948,male,wallonia,65-inf
Eric,5940,male,flanders,65-inf
Marie,5926,female,flanders,0-17
Gilbert,5921,male,flanders,65-inf
Bruno,5914,male,flanders,18-64
Pascale,5904,female,wallonia,18-64
Ruben,5868,male,flanders,18-64
Herman,5861,male,flanders,65-inf
Yves,5856,male,wallonia,18-64
Dimitri,5855,male,flanders,18-64
Jessica,5853,female,wallonia,18-64
Melissa,5852,female,flanders,18-64
Emilie,5797,female,wallonia,18-64
Eddy,5792,male,flanders,65-inf
Antoine,5788,male,wallonia,18-64
Jurgen,5784,male,flanders,18-64
Sandrine,5781,female,wallonia,18-64
Stephanie,5775,female,flanders,18-64
Guido,5775,male,flanders,18-64
Léa,5773,female,wallonia,0-17
Luc,5768,male,wallonia,18-64
Bruno,5727,male,wallonia,18-64
Vanessa,5680,female,wallonia,18-64
Anthony,5660,male,wallonia,18-64
Godelieve,5660,female,flanders,18-64
Francine,5652,female,flanders,65-inf
Anita,5647,female,flanders,18-64
Petra,5641,female,flanders,18-64
Sam,5626,male,flanders,18-64
Erwin,5614,male,flanders,18-64
Claudine,5613,female,wallonia,65-inf
Walter,5580,male,flanders,65-inf
Albert,5557,male,flanders,65-inf
Lisa,5548,female,flanders,18-64
Nadia,5546,female,flanders,18-64
Alfons,5517,male,flanders,65-inf
Kristel,5512,female,flanders,18-64
Greta,5485,female,flanders,18-64
Nathan,5475,male,wallonia,0-17
Matthias,5466,male,flanders,18-64
Eline,5456,female,flanders,18-64
Guillaume,5454,male,wallonia,18-64
Françoise,5447,female,wallonia,65-inf
Michiel,5442,male,flanders,18-64
